ker-2,*ker-2,鳴く,roar,root-concept/root-ker2.png,
kers-2,*kers-2,走る,to run,root-concept/root-kers2.png,
kerə-,*kerə-,混ぜる,to mix,root-concept/root-kere.png,
klep-,*klep-,盗む,steal,,
klāu-,*klāu-,留め金,hook,root-concept/root-klau.png,
kolə-mo-,*kolə-mo-,葦,reed,root-concept/root-kolemo.png,
kom,*kom,一緒に,together,root-concept/root-kom.png,
koro-,*koro-,戦い,war,root-concept/root-koro.png,
ksun,*ksun,共に,with,root-concept/root-ksun.png,
kāu-,*kāu-,焦げる,scorch,root-concept/root-kau-2.png,
kʷeiə-,*kʷeiə-,休む,to rest,root-concept/root-kweie.png,
kʷel-1,*kʷel-1,回転する,to revolve,root-concept/root-kwel1.png,
kʷel-2,*kʷel-2,遠い,far,root-concept/root-kwel2.png,
kʷetwer-,*kʷetwer-,四,four,root-concept/root-kwetwer.png,
kʷezd-,*kʷezd-,部分,part,root-concept/root-kwezd.png,
kʷo-,*kʷo-,誰・何,who/what,root-concept/root-kwo.png,
leg-,*leg-,集める,to collect,root-concept/root-leg.png,
leikʷ-,*leikʷ-,去る,to leave,root-concept/root-leikw.png,
leu-,*leu-,解く,to loosen,root-concept/root-leu.png,
lē-1,*lē-1,得る,obtain,,
līk-,*līk-,形,form,root-concept/root-lik.png,
lī̆no-,*lī̆no-,亜麻,flax,root-concept/root-lino.png,
maghu-,*maghu-,若者,young person,root-concept/root-maghu.png,
man-1,*man-1,人,man,root-concept/root-man1.png,
med-,*med-,処置する,to manage,root-concept/root-med.png,
medhyo-,*medhyo-,中央,middle,root-concept/root-medhyo.png,
meg-,*meg-,大きい,great,root-concept/root-meg.png,
mei-1,*mei-1,変化する,to change,root-concept/root-mei1.png,
mel-1,*mel-1,柔らかい,soft,root-concept/root-mel1.png,
mel-5,*mel-5,誤りの,false,root-concept/root-mel5.png,
men-1,*men-1,考える,to think,root-concept/root-men1.png,men
men-2,*men-2,突出する,to project,root-concept/root-men2.png,
men-4,*men-4,小さい・孤立した,small,root-concept/root-men4.png,
merg-,*merg-,境界,boundary,root-concept/root-merg.png,
merph-,*merph-,形,form,root-concept/root-merph.png,
mittere,*mittere,行かせる,to let go,root-concept/root-mittere.png,
mori-,*mori-,水域,body of water,root-concept/root-mori.png,mori
mē-2,*mē-2,測る,to measure,root-concept/root-me2.png,
mōd-,*mōd-,会う,meet,root-concept/root-mod.png,
ne,*ne,否定,not,root-concept/root-ne.png,
nek-1,*nek-1,死,death,root-concept/root-nek1.png,
newn̥,*newn̥,九,nine,root-concept/root-newn.png,
newo-,*newo-,新しい,new,root-concept/root-newo.png,
ogʷhi-,*ogʷhi-,蛇,snake,root-concept/root-ogwhi.png,
oi-no-,*oi-no-,ひとつ,one,root-concept/root-oino.png,oino
oktō(u),*oktō(u),八,eight,root-concept/root-oktou.png,
oner-,*oner-,夢,dream,,
op-,*op-,働く,to work,root-concept/root-op.png,
ors-,*ors-,尻,buttocks,root-concept/root-ors.png,
pant-,*pant-,全体,all,root-concept/root-pant.png,
pau-,*pau-,わずかの,few,root-concept/root-pau.png,
paəwr̥,*paəwr̥,炎,flame,root-concept/root-paewr.png,
ped-,*ped-,足,foot,root-concept/root-ped.png,
pek-2,*pek-2,梳く,comb,root-concept/root-pek2.png,
pelə-1,*pelə-1,満たす,to fill,root-concept/root-pele1.png,
penkʷe,*penkʷe,五,five,root-concept/root-penkwe.png,
per1,*per1,前へ,forward,root-concept/root-per1.png,
perə-1,*perə-1,生産する,to produce,root-concept/root-pere1.png,
perə-2,*perə-2,認める,to grant,root-concept/root-pere2.png,
pet-,*pet-,急ぐ,to rush,root-concept/root-pet.png,
peuk-,*peuk-,刺す,to prick,root-concept/root-peuk.png,
philos,*philos,愛,,,
plāk-1,*plāk-1,平ら,to be flat,root-concept/root-plak1.png,
poti-,*poti-,力,power,root-concept/root-poti.png,
prī-,*prī-,愛す,to love,root-concept/root-pri.png,
re-,*re-,後ろに,backward,root-concept/root-re.png,
reg-,*reg-,まっすぐ導く,to lead straight,root-concept/root-reg.png,reg
reudh-,*reudh-,赤,red,root-concept/root-reudh.png,
s(w)e-,*s(w)e-,自身,self,root-concept/root-swe.png,
s(w)eks,*s(w)eks,六,six,root-concept/root-sweks.png,
sak-,*sak-,神聖化する,to sanctify,root-concept/root-sak.png,
sek-,*sek-,切る,to cut,root-concept/root-sek.png,
sekʷ-1,*sekʷ-1,追う,to follow,root-concept/root-sekw1.png,
sem-1,*sem-1,一つ・一緒に,one,root-concept/root-sem1.png,
sengʷh-,*sengʷh-,歌う,to sing,root-concept/root-sengwh.png,
sent-,*sent-,向かう,to head for,root-concept/root-sent.png,
septm̥,*septm̥,七,seven,root-concept/root-septm.png,
skai-2,*skai-2,輝く,to shine,root-concept/root-skai2.png,
skrībh-,*skrībh-,刻む,to cut,root-concept/root-skribh.png,
slengʷh-,*slengʷh-,投げる,sling,,
smīk-,*smīk-,小さい,tiny,root-concept/root-smik.png,
spek-,*spek-,観察する,to observe,root-concept/root-spek.png,
steig-,*steig-,突き刺す,to stick,root-concept/root-steig.png,
ster-1,*ster-1,硬直する,stiff,root-concept/root-ster1.png,
ster-2,*ster-2,星,star,root-concept/root-ster2.png,
sterə-,*sterə-,広げる,spread,root-concept/root-stere.png,
streb(h)-,*streb(h)-,巻く,to wind,root-concept/root-strebh.png,
strenk-,*strenk-,窮屈,tight,root-concept/root-strenk.png,
swen-,*swen-,音を立てる,to sound,root-concept/root-swen.png,
sē-3,*sē-3,篩う,sift,,
sēmi-,*sēmi-,半分,half‑,root-concept/root-semi.png,
teks-,*teks-,織る,to weave,root-concept/root-teks.png,
ter-,*ter-,境界線,boundary,root-concept/root-ter.png,
terə-2,*terə-2,横切る,to cross over,root-concept/root-tere2.png,
teutā-,*teutā-,族,tribe,root-concept/root-teuta.png,
tkei-,*tkei-,住む,to settle,root-concept/root-tkei.png,
to-,*to-,それ,demonstrative pronoun,root-concept/root-to.png,
trei-,*trei-,三,three,root-concept/root-trei.png,
trep-2,*trep-2,回る,to turn,root-concept/root-trep2.png,
twerk-,*twerk-,切る,hack,root-concept/root-twerk.png,
ud-,*ud-,上へ,up,root-concept/root-ud.png,
uper,*uper,超えて,over,root-concept/root-uper.png,
upo,*upo,下から上へ,under,root-concept/root-upo.png,
wed-1,*wed-1,水,water,root-concept/root-wed1.png,
wegh-,*wegh-,行く,to go,root-concept/root-wegh.png,
weid-,*weid-,見る・知る,to see,root-concept/root-weid.png,weid
weik-4,*weik-4,曲がる,to bend,root-concept/root-weik4.png,
wer-2,*wer-2,持上げる,to raise,root-concept/root-wer2.png,
wer-3,*wer-3,回す,to turn,root-concept/root-wer3.png,
wer-5,*wer-5,覆う,to cover,root-concept/root-wer5.png,
wes-1,*wes-1,買う,to buy,root-concept/root-wes1.png,
wrād-,*wrād-,根・枝,root/branch,root-concept/root-wrad.png,
wīkm̥tī,*wīkm̥tī,二十,twenty,root-concept/root-wikmti.png,
wō̆s,*wō̆s,あなたたち,you,,
yewes-,*yewes-,法,law,root-concept/root-yewes.png,
yē-,*yē-,投げる,to throw,root-concept/root-ye.png,ye
yēk-,*yēk-,癒す,heal,root-concept/root-yek-2.png,
