root_key,icon_file,concept_ja
kerd-,root-kerd.png,心
peuk-,root-peuk.png,刺す
pau-,root-pau.png,わずかの
mittere,root-mittere.png,行かせる
pelə-2,root-pele2.png,平ら
medhyo-,root-medhyo.png,中央
wal-,root-wal.png,強い
wed-1,root-wed1.png,水
bhel-2,root-bhel2.png,吹く
nem-,root-nem.png,割り当てる
pag-,root-pag.png,留める
bhel-3,root-bhel3.png,咲く
bhreg-,root-bhreg.png,壊す
dhēs-,root-dhes.png,祭礼
merph-,root-merph.png,形
gʷelə-,root-gwele.png,投げる
ar-,root-ar.png,ぴったり合う
gher-1,root-gher1.png,しっかり握る
kar-,root-kar.png,硬い
al-3,root-al3.png,成長する・養う
op-,root-op.png,働く
deu-2,root-deu2.png,動作をする
reudh-,root-reudh.png,赤
kel-2,root-kel2.png,覆う
penkʷe,root-penkwe.png,五
beu-,root-beu.png,ふくらむ
ud-,root-ud.png,上へ
plat-,root-plat.png,広げる
wer-4,root-wer4.png,認める
klei-,root-klei.png,反り返る
men-4,root-men4.png,小さい・孤立した
dek-,root-dek.png,取る
meuə-,root-meue.png,押し出す
dem-,root-dem.png,家
yeug-,root-yeug.png,一緒になる
telə-,root-tele.png,持ち上げる
pel-6,root-pel6.png,強く押す
dhghem-,root-dhghem.png,大地
poti-,root-poti.png,力
ghend-,root-ghend.png,つかむ
teuə-2,root-teue2.png,膨らむ
deru-,root-deru.png,堅い
petə-,root-pete.png,広げる
em-,root-em.png,取る
dhē(i)-,root-dhei.png,吸う
gʷerə-2,root-gwere2.png,重い・激しい
men-2,root-men2.png,突出する
pleu-,root-pleu.png,流れる
bhergh-2,root-bhergh2.png,高い
dā-,root-da.png,分ける
ghredh-,root-ghredh.png,歩いていく
sol-,root-sol.png,全体
weik-1,root-weik1.png,一族・村
kel-1,root-kel1.png,打つ
sāg-,root-sag.png,探し出す
legh-,root-legh.png,横たえる
pā-,root-pa.png,保護する
segh-,root-segh.png,つかむ
(s)keu-,root-skeu.png,覆う
tragh-,root-tragh.png,引っ張る
aiw-,root-aiw.png,生命の力
pekʷ-,root-pekw.png,料理する
ker-3,root-ker3.png,成長する
ters-,root-ters.png,乾く
skrībh-,root-skribh.png,刻む
ster-2,root-ster2.png,星
plāk-1,root-plak1.png,平ら
tag-,root-tag.png,触る
mei-2,root-mei2.png,小さい
temə-1,root-teme1.png,切る
bheidh-,root-bheidh.png,信頼する
lendh-2,root-lendh2.png,広々とした
bhleu-,root-bhleu.png,膨張する
pau-2,root-pau2.png,切る
kad-,root-kad.png,落下
sek-,root-sek.png,切る
wekʷ-,root-wekw.png,話す
wer-5,root-wer5.png,覆う
kʷei-3,root-kwei3.png,認める
rē(i)-,root-rei.png,評価
stel-,root-stel.png,置く
awi-,root-awi.png,鳥
ret-,root-ret.png,走る
reup-,root-reup.png,奪う
to-,root-to.png,それ
bhreuə-,root-bhreue.png,沸く
kleu-,root-kleu.png,聴く
gʷou-,root-gwou.png,牛
(s)kep-,root-skep.png,切る
euə-,root-eue.png,見離す
melə-,root-mele.png,押しつぶす
keiə-,root-keie.png,始める
newo-,root-newo.png,新しい
magh-,root-magh.png,能力をもつ
nekʷ-t-,root-nekwt.png,夜
(s)kel-1,root-skel1.png,切る
per-4,root-per4.png,押す
streig-,root-streig.png,撫でる
merg-,root-merg.png,境界
mel-1,root-mel1.png,柔らかい
keuə-,root-keue.png,膨れる
kan-,root-kan.png,歌う
wer-2,root-wer2.png,持上げる
ōrd-,root-ord.png,整える
akʷ-ā-,root-akwa.png,水
sent-,root-sent.png,向かう
steig-,root-steig.png,突き刺す
mel-5,root-mel5.png,誤りの
leig-,root-leig.png,束ねる
legʷh-,root-legwh.png,軽い
mori-,root-mori.png,海
wel-2,root-wel2.png,望む
mer-2,root-mer2.png,こすり落とす
saəwel-,root-saewel.png,太陽
anə-,root-ane.png,呼吸する
lī̆no-,root-lino.png,亜麻
yewes-,root-yewes.png,法
dheigh-,root-dheigh.png,形作る
meik-,root-meik.png,混ぜる
pel-3,root-pel3.png,折る
ser-3,root-ser3.png,整列
trep-2,root-trep2.png,回る
wrād-,root-wrad.png,根・枝
kʷeiə-,root-kweie.png,休む
ko-,root-ko.png,これ
ster-1,root-ster1.png,硬直する
weg-2,root-weg2.png,強い・活発
wen-1,root-wen1.png,望む
gʷher-,root-gwher.png,温める
dent-,root-dent.png,歯
pəter-,root-peter.png,父
kat-,root-kat.png,下に
man-1,root-man1.png,人
(s)teg-,root-steg.png,覆う
kelə-1,root-kele1.png,温かい
ost-,root-ost.png,骨
rēd-,root-red.png,削る
leu(ə)-,root-leue.png,洗う
mregh-u-,root-mreghu.png,短い
kes-2,root-kes2.png,切る
gel-2,root-gel2.png,冷たい
ker-2,root-ker2.png,鳴く
teks-,root-teks.png,織る
wī̆-ro-,root-wiro.png,人
dhīgʷ-,root-dhigw.png,固定する
gʷerə-4,root-gwere4.png,飲む
tolkʷ-,root-tolkw.png,語る
arkhein,root-arkhein.png,統治
del-1,root-del1.png,長い
gerere,root-gerere.png,運ぶ
bhau-,root-bhau.png,打つ
bhlē-2,root-bhle2.png,吹く
paəwr̥,root-paewr.png,炎
g(e)n-,root-gen.png,圧縮
mūs-,root-mus.png,ネズミ
aug-,root-aug.png,増える
ghos-ti-,root-ghosti.png,客・異邦人
leip-,root-leip.png,脂肪
streb(h)-,root-strebh.png,巻く
sen-,root-sen.png,古い
dher-2,root-dher2.png,支える
kailo-,root-kailo.png,完全
kwēt-,root-kwet.png,振る
oit-,root-oit.png,引き連れる
s(w)eks,root-sweks.png,六
tkei-,root-tkei.png,住む
melg-,root-melg.png,こすり取る
(e)su-,root-esu.png,良い
māter-,root-mater.png,母
er-1,root-er1.png,動かす
ghrēu-,root-ghreu.png,擦る
kel-3,root-kel3.png,駆ける
peuə-,root-peue.png,清める
